iter	Passed	Remaining
0	2	201
1	3	187
2	14	462
3	15	378
4	17	326
5	18	290
6	21	283
7	23	266
8	25	254
9	26	235
10	27	223
11	28	211
12	30	204
13	31	195
14	33	189
15	43	230
16	45	221
17	46	212
18	47	204
19	49	198
20	51	193
21	52	187
22	57	192
23	59	188
24	61	184
25	62	178
26	64	173
27	65	168
28	66	163
29	68	158
30	69	154
31	70	150
32	72	146
33	73	142
34	74	138
35	76	135
36	77	132
37	79	129
38	80	125
39	81	122
40	83	119
41	84	116
42	86	114
43	87	111
44	88	108
45	90	106
46	91	103
47	93	100
48	94	98
49	95	95
50	97	93
51	98	90
52	99	88
53	101	86
54	102	83
55	103	81
56	104	79
57	106	76
58	107	74
59	108	72
60	109	70
61	111	68
62	112	65
63	112	63
64	114	61
65	115	59
66	116	57
67	117	55
68	119	53
69	120	51
70	121	49
71	122	47
72	123	45
73	125	43
74	126	42
75	127	40
76	128	38
77	130	36
78	131	34
79	132	33
80	133	31
81	134	29
82	135	27
83	137	26
84	138	24
85	139	22
86	140	21
87	141	19
88	142	17
89	142	15
90	143	14
91	144	12
92	144	10
93	145	9
94	145	7
95	146	6
96	147	4
97	147	3
98	148	1
99	148	0
