iter	Passed	Remaining
0	137	137816
1	138	69113
2	139	46295
3	139	34839
4	140	27960
5	141	23373
6	141	20099
7	142	17647
8	142	15732
9	143	14210
10	144	12968
11	144	11934
12	145	11051
13	146	10307
14	147	9658
15	147	9072
16	148	8566
17	148	8114
18	149	7708
19	149	7345
20	150	7017
21	151	6718
22	151	6446
23	152	6200
24	153	5974
25	153	5764
26	154	5573
27	155	5392
28	156	5223
29	156	5059
30	157	4910
31	157	4772
32	158	4642
33	158	4515
34	159	4398
35	160	4284
36	160	4178
37	160	4075
38	161	3976
39	161	3885
40	162	3798
41	162	3717
42	163	3639
43	164	3563
44	164	3491
45	165	3422
46	165	3356
47	166	3293
48	166	3232
49	167	3176
50	167	3120
51	168	3066
52	168	3015
53	169	2964
54	169	2916
55	170	2869
56	170	2824
57	171	2780
58	171	2738
59	172	2698
60	172	2658
61	173	2620
62	173	2583
63	174	2546
64	174	2512
65	175	2478
66	175	2445
67	176	2413
68	176	2379
69	176	2348
70	177	2319
71	177	2290
72	178	2263
73	178	2235
74	178	2206
75	179	2180
76	179	2155
77	180	2131
78	180	2108
79	181	2086
80	181	2064
81	182	2043
82	183	2022
83	183	2001
84	184	1981
85	184	1960
86	185	1942
87	185	1923
88	186	1904
89	186	1886
90	187	1868
91	187	1851
92	188	1834
93	188	1817
94	189	1801
95	189	1785
96	190	1769
97	190	1754
98	191	1739
99	191	1724
100	192	1709
101	192	1696
102	193	1681
103	193	1667
104	194	1654
105	194	1639
106	194	1626
107	195	1613
108	195	1601
109	196	1587
110	196	1575
111	197	1564
112	197	1553
113	198	1541
114	198	1530
115	199	1519
116	200	1509
117	200	1498
118	201	1488
119	201	1478
120	201	1467
121	202	1457
122	203	1447
123	203	1437
124	203	1427
125	204	1418
126	204	1409
127	205	1399
128	205	1390
129	206	1381
130	206	1372
131	207	1363
132	207	1354
133	208	1346
134	208	1338
135	209	1329
136	209	1322
137	210	1314
138	211	1307
139	211	1299
140	212	1291
141	212	1284
142	213	1276
143	213	1269
144	214	1262
145	214	1255
146	215	1248
147	215	1241
148	216	1234
149	216	1227
150	217	1220
151	217	1213
152	218	1207
153	218	1200
154	219	1194
155	219	1187
156	220	1181
157	220	1175
158	221	1169
159	221	1163
160	222	1157
161	222	1152
162	223	1146
163	223	1140
164	224	1135
165	224	1129
166	225	1124
167	226	1119
168	226	1113
169	227	1108
170	227	1103
171	228	1097
172	228	1092
173	229	1087
174	229	1082
175	230	1078
176	230	1073
177	231	1068
178	231	1063
179	232	1058
180	232	1054
181	233	1049
182	233	1044
183	234	1039
184	234	1034
185	235	1030
186	236	1026
187	236	1021
188	237	1017
189	237	1012
190	238	1008
191	238	1003
192	239	999
193	239	995
194	240	991
195	240	987
196	241	984
197	241	980
198	242	976
199	243	972
200	243	968
201	244	964
202	244	960
203	245	957
204	245	953
205	246	949
206	246	945
207	247	941
208	247	937
209	248	933
210	248	930
211	249	926
212	249	922
213	250	919
214	250	915
215	251	912
216	251	908
217	252	905
218	252	901
219	253	898
220	253	895
221	254	891
222	255	888
223	255	885
224	256	881
225	256	878
226	257	875
227	257	871
228	257	868
229	258	865
230	259	862
231	259	859
232	260	856
233	260	853
234	261	850
235	261	847
236	262	844
237	262	840
238	263	837
239	263	835
240	264	832
241	264	829
242	265	826
243	265	823
244	266	820
245	266	817
246	267	814
247	267	811
248	268	809
249	268	806
250	269	803
251	269	800
252	270	798
253	270	795
254	271	792
255	271	789
256	272	786
257	272	783
258	273	781
259	273	778
260	273	775
261	274	772
262	274	770
263	275	767
264	275	765
265	276	762
266	276	760
267	277	757
268	277	755
269	278	752
270	278	750
271	279	747
272	279	745
273	280	742
274	280	740
275	281	737
276	281	735
277	282	733
278	282	730
279	283	728
280	283	726
281	284	723
282	284	721
283	285	718
284	285	716
285	286	714
286	286	712
287	287	709
288	287	707
289	288	705
290	288	703
291	289	700
292	289	698
293	290	696
294	290	694
295	291	692
296	291	690
297	292	688
298	292	686
299	293	683
300	293	681
301	293	679
302	294	677
303	294	675
304	295	673
305	296	671
306	296	670
307	297	668
308	297	666
309	298	664
310	299	662
311	299	661
312	300	659
313	301	657
314	301	656
315	302	654
316	302	652
317	303	650
318	303	648
319	304	647
320	305	645
321	305	643
322	306	641
323	306	639
324	306	637
325	307	635
326	307	633
327	308	632
328	309	630
329	309	628
330	310	627
331	310	625
332	311	623
333	311	621
334	312	619
335	312	618
336	313	616
337	313	614
338	314	612
339	314	611
340	315	609
341	315	607
342	316	605
343	316	603
344	317	602
345	317	600
346	318	599
347	319	597
348	319	596
349	320	594
350	320	592
351	321	591
352	321	589
353	322	589
354	323	587
355	324	586
356	324	584
357	325	583
358	325	581
359	326	580
360	326	578
361	327	577
362	328	575
363	328	574
364	329	572
365	329	571
366	330	569
367	330	568
368	331	566
369	331	565
370	332	563
371	332	561
372	333	560
373	333	558
374	334	557
375	334	555
376	335	553
377	335	552
378	335	550
379	336	549
380	337	547
381	337	546
382	338	545
383	339	543
384	339	542
385	340	541
386	340	539
387	341	538
388	341	537
389	342	535
390	343	534
391	343	532
392	344	531
393	344	529
394	344	528
395	345	526
396	345	525
397	346	523
398	346	522
399	347	521
400	347	519
401	348	518
402	349	517
403	349	515
404	350	514
405	350	513
406	351	511
407	351	510
408	352	508
409	352	507
410	353	505
411	353	504
412	353	502
413	354	501
414	354	500
415	355	498
416	355	497
417	356	495
418	356	494
419	357	493
420	357	492
421	358	490
422	358	489
423	359	488
424	359	486
425	360	485
426	360	484
427	361	482
428	361	481
429	362	480
430	362	478
431	363	477
432	363	476
433	364	475
434	364	474
435	365	472
436	365	471
437	366	470
438	367	469
439	367	468
440	368	466
441	368	465
442	369	464
443	369	462
444	370	461
445	370	460
446	371	459
447	371	457
448	372	456
449	372	455
450	373	454
451	373	452
452	374	451
453	374	450
454	375	449
455	375	448
456	376	446
457	376	445
458	377	444
459	377	443
460	378	442
461	378	441
462	379	440
463	379	438
464	380	437
465	380	436
466	381	435
467	381	433
468	382	432
469	382	431
470	383	430
471	383	429
472	384	427
473	384	426
474	384	425
475	385	424
476	385	423
477	386	421
478	386	420
479	387	419
480	387	418
481	388	417
482	388	416
483	389	415
484	389	413
485	390	412
486	390	411
487	391	410
488	391	409
489	392	408
490	392	406
491	393	405
492	393	404
493	393	403
494	394	402
495	394	401
496	395	400
497	395	398
498	396	397
499	396	396
500	397	395
501	397	394
502	398	393
503	398	392
504	399	391
505	399	390
506	400	389
507	400	388
508	401	387
509	401	386
510	402	385
511	402	384
512	403	383
513	403	381
514	404	380
515	404	379
516	405	378
517	405	377
518	406	376
519	407	375
520	407	374
521	408	373
522	408	372
523	409	371
524	409	370
525	410	369
526	411	368
527	411	367
528	411	366
529	412	365
530	412	364
531	413	363
532	413	362
533	414	361
534	414	360
535	415	359
536	415	358
537	416	357
538	416	356
539	417	355
